StateCode,StateName,Year,tb_hiv_known_status_pct,tb_hiv_coinfected_pct
27,Maharashtra,2021,,
27,Maharashtra,2022,,
27,Maharashtra,2023,,
27,Maharashtra,2024,96.0,
28,Andhra Pradesh,2020,,7.0
28,Andhra Pradesh,2021,,
28,Andhra Pradesh,2022,,
28,Andhra Pradesh,2023,,
28,Andhra Pradesh,2024,99.0,
29,Karnataka,2020,,7.0
29,Karnataka,2021,,
29,Karnataka,2022,,
29,Karnataka,2023,,
29,Karnataka,2024,96.0,
30,Goa,2020,,3.0
30,Goa,2021,,
30,Goa,2022,,
30,Goa,2023,,
30,Goa,2024,85.0,
31,Lakshadweep,2020,,0.0
31,Lakshadweep,2021,,
31,Lakshadweep,2022,,
31,Lakshadweep,2023,,
31,Lakshadweep,2024,100.0,
32,Kerala,2020,,1.0
32,Kerala,2021,,
32,Kerala,2022,,
32,Kerala,2023,,
32,Kerala,2024,97.0,
33,Tamil Nadu,2020,,4.0
33,Tamil Nadu,2021,,
33,Tamil Nadu,2022,,
33,Tamil Nadu,2023,,
33,Tamil Nadu,2024,96.0,
34,Puducherry,2020,,2.0
34,Puducherry,2021,,
34,Puducherry,2022,,
34,Puducherry,2023,,
34,Puducherry,2024,99.0,
35,Andaman and Nicobar Islands,2020,,1.0
35,Andaman and Nicobar Islands,2021,,
35,Andaman and Nicobar Islands,2022,,
35,Andaman and Nicobar Islands,2023,,
35,Andaman and Nicobar Islands,2024,93.0,
36,Telangana,2020,,4.0
36,Telangana,2021,,
36,Telangana,2022,,
36,Telangana,2023,,
36,Telangana,2024,73.0,
37,Ladakh,2020,,0.0
37,Ladakh,2021,,
37,Ladakh,2022,,
37,Ladakh,2023,,
37,Ladakh,2024,97.0,
38,The Dadra and Nagar Haveli and Daman and Diu,2020,,0.0
38,The Dadra and Nagar Haveli and Daman and Diu,2021,,
38,The Dadra and Nagar Haveli and Daman and Diu,2022,,
38,The Dadra and Nagar Haveli and Daman and Diu,2023,,
38,The Dadra and Nagar Haveli and Daman and Diu,2024,100.0,
